GENE,ATGENE,EVALUE,BITSCORE,Names,Description,DNA damage response GO:0006974,DNA metabolic process GO:0006259,biological process involved in interspec... GO:0044419,cell cycle GO:0007049,cell cycle process GO:0022402,cell death GO:0008219,cell recognition GO:0008037,cellular response to ionizing radiation GO:0071479,cellular response to iron ion GO:0071281,cellular response to stress GO:0033554,coumarin biosynthetic process GO:0009805,coumarin metabolic process GO:0009804,defense response GO:0006952,defense response to Gram-negative bacter... GO:0050829,defense response to bacterium GO:0042742,defense response to other organism GO:0098542,defense response to symbiont GO:0140546,detection of bacterium GO:0016045,detection of biotic stimulus GO:0009595,detection of external biotic stimulus GO:0098581,detection of other organism GO:0098543,double-strand break repair GO:0006302,immune response GO:0006955,immune response-activating signaling pat... GO:0002757,immune response-regulating signaling pat... GO:0002764,immune system process GO:0002376,innate immune response GO:0045087,innate immune response-activating signal... GO:0002758,mitotic cytokinesis GO:0000281,negative regulation of cell cycle GO:0045786,negative regulation of cell cycle proces... GO:0010948,pathogen-associated molecular pattern re... GO:0140426,pattern recognition receptor signaling p... GO:0002221,phosphate-containing compound metabolic ... GO:0006796,phosphorus metabolic process GO:0006793,phosphorylation GO:0016310,plant-type hypersensitive response GO:0009626,programmed cell death GO:0012501,protein desumoylation GO:0016926,protein phosphorylation GO:0006468,recognition of pollen GO:0048544,regulation of cell cycle GO:0051726,regulation of cell cycle process GO:0010564,regulation of defense response GO:0031347,regulation of immune response GO:0050776,regulation of immune system process GO:0002682,regulation of innate immune response GO:0045088,regulation of response to biotic stimulu... GO:0002831,regulation of response to external stimu... GO:0032101,regulation of response to stimulus GO:0048583,regulation of response to stress GO:0080134,response to bacterium GO:0009617,response to biotic stimulus GO:0009607,response to external biotic stimulus GO:0043207,response to external stimulus GO:0009605,response to oomycetes GO:0002239,response to other organism GO:0051707,response to stress GO:0006950,sideretin biosynthesis GO:0106146,symbiont-induced defense-related program... GO:0034050
Manes.09G097200.1,AT5G28470,0,635,ATNPF2.8; FLAVONOL SOPHOROSIDE TRANSPORTER 1; FST1; NITRATE AND PEPTIDE FAMILY 2.8; NPF2.8,"Encodes a member of the nitrate/peptide NTR/PTR family of transporters is required for accumulation and transport of pollen-specific flavonol 3-O-sophorosides, characterized by a glycosidic &#946;-1,2-linkage, to the pollen surface of Arabidopsis.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",""
Manes.09G099600.1,AT3G54020,0,510,ARABIDOPSIS INOSITOL PHOSPHORYLCERAMIDE SYNTHASE 1; ATIPCS1,Inositol phosphorylceramide synthase,"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G100000.1,AT3G54050,0,630,CFBP1; HCEF1; HIGH CYCLIC ELECTRON FLOW 1,"Encodes a chloroplastic fructose 1,6-bisphosphate phosphatase also known as HCEF1 (High Cyclic Electron Flow 1). hcef1 mutants have constitutively elevated electron flow (CEFI) and plants with antisense suppression of this enzyme have higher levels of net leaf photosynthesis  and increased sucrose biosynthesis. The mRNA is cell-to-cell mobile.Encodes a chloroplastic fructose 1,6-bisphosphate phosphatase. also known as HCEF1 (High Cyclic Electron Flow 1). hcef1 mutants have constitutively elevated electron flow (CEFI) and plants with antisense suppression of this enzyme have higher levels of net leaf photosynthesis  and increased sucrose biosynthesis. The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G103800.1,AT5G01500,0,524,TAAC; THYLAKOID ATP/ADP CARRIER,encodes an ATP/ADP carrier that is located to the thylakoid membrane involved in providing ATP during thylakoid biogenesis and turnover The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.09G106700.3,AT3G51800,0,590,A. THALIANA ERBB-3 BINDING PROTEIN 1; ATEBP1; ATG2; EBP1; ERBB-3 BINDING PROTEIN 1; G2PATG2; G2P,"putative nuclear DNA-binding protein G2p (AtG2) mRNA,","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.09G113100.2,AT5G03570,0,602,ARABIDOPSIS THALIANA IRON-REGULATED PROTEIN 2; ATIREG2; FERROPORTIN 2; FPN2; IREG2; IRON REGULATED 2IREG2; IRON REGULATED 2,"Encodes FPN2, a tonoplast localized nickel transport protein. FPN2 is one of the Arabidopsis orthologs (AT2G38460/IREG1/FPN1 and AT5G03570/IREG2/FPN2) the iron efflux transporter ferroportin (FPN) identified in animals.","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.09G115750.1,AT5G01810,6.15e-31,111,ATPK10; CBL-INTERACTING PROTEIN KINASE 15; CIPK15; PKS3; PROTEIN KINASE 10; SIP2; SNF1-RELATED PROTEIN KINASE 3.1; SNRK3.1; SOS3-INTERACTING PROTEIN 2CBL-INTERACTING PROTEIN KINASE 15; CIPK15ATPK10; CBL-INTERACTING PROTEIN KINASE 15; CIPK15; PKS3; PROTEIN KINASE 10,"Encodes a CBL-interacting serine/threonine protein kinase, also has similarities to SOS2 kinase.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","",X,"","","","","","","",X,"",""
Manes.09G116600.1,AT3G51630,0,637,WITH NO LYSINE (K) KINASE 5; WNK5ATWNK5; WITH NO LYSINE (K) KINASE 5; WNK5; ZIK1,"Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.09G121400.1,AT5G01960,0,651,"",RING/U-box superfamily protein;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","",X,"",""
Manes.09G124600.4,AT5G17020,0,1997,ARABIDOPSIS THALIANA EXPORTIN 1; ATCRM1; ATXPO1; EXPORTIN 1; EXPORTIN 1A; HEAT-INTOLERANT 2; HIT2; XPO1; XPO1AEXPORTIN 1A; XPO1A,Encodes a member of the exportin protein family (XPO1A) which functions as receptors for nuclear export. Binds to a variety of proteins having  leucine rich export signals.Along with XPO1B involved with development of the male and female gametophytes. Sensitive to heat and oxidative stress.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G125401.1,AT5G46910,6.41e-152,457,JMJ13; JUMONJI 13,H3K27me3 demethylase involved in temperature and photoperiod dependent repressing of flowering.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","",X,"",""
Manes.09G126200.1,AT4G24340,4.69e-75,234,"",Phosphorylase superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G129500.1,AT5G16680,9.44e-159,518,PAIPP2; PHD2,"PHD protein which cooperates with AIPP2 and BAH domain protein AIPP3 to read H3K4 histone marks. The BAH-PHD bivalent histone reader complex silences a substantial subset of H3K27me3-enriched loci, including development and stress response-related genes. Interacts with BDT1, acts with other PHD proteins   to associate with flowering genes and thereby suppress their transcription.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.09G133700.3,AT5G17690,2.75e-85,267,ATLHP1; LHP1; LIKE HETEROCHROMATIN PROTEIN 1; TERMINAL FLOWER 2; TFL2,Regulates the meristem response to light signals and the maintenance of inflorescence meristem identity. Influences developmental processes controlled by APETALA1. TFL2 silences specific  genes within euchromatin but not genes positioned in heterochromatin. TFL2 protein localized preferentially to euchromatic  regions and not to heterochromatic chromocenters. Involved in euchromatin organization. Required for epigenetic maintenance of the vernalized state.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G137800.2,AT3G03773,2.58e-75,226,P23-2,"Encodes one of two isoforms of a co-chaperone of HSP90 that is required for root growth, in particular in the maintenance of the root meristem.  It can be phosphorylated in vitro by human and maize CK2.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","",X,"",""
Manes.09G139000.4,AT5G32450,1.24e-144,408,BPA1-LIKE 4; BPL4,"ACD11 binding partner, negatively regulates ROS-mediated defense response.","","",X,"","",X,"","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",X
Manes.09G140100.1,AT5G19790,1.31e-30,113,RAP2.11; RELATED TO AP2 11,encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family (RAP2.11). The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G140300.2,AT5G18110,3.24e-119,340,NCBP; NOVEL CAP-BINDING PROTEIN; RPX1,Involved in resistance to Plutella xylostella through the accumulation of the homoterpene DMNT.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.09G145400.1,AT3G04240,0,1696,SEC; SECRET AGENT,Protein O-GlcNAc transferase. Together with SPY functions to competitively regulate RGA1 (At2g01570).,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.09G148100.1,AT1G08620,0,1264,JMJ16; JUMONJI DOMAIN-CONTAINING PROTEIN 16; PKDM7DJMJ16; JUMONJI DOMAIN-CONTAINING PROTEIN 16,"Member of family of Jumonji C (JmjC)-containing demethylases, its catalytic domain exhibits both H3K4 and H3K9 demethylation activities. Together with MMD1 promotes in male meiocytes gene expression in an H3K9me3-dependent manner and thereby contributes to meiotic chromosome condensation.","","",X,X,X,"","","","","","","",X,"",X,X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,"",""
Manes.09G149200.2,AT3G56070,1.83e-110,311,ROC2; ROTAMASE CYCLOPHILIN 2,rotamase cyclophilin 2 (ROC2) exhibiting peptidyl-prolyl cis-trans isomerase activity involved in signal transduction.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G151800.1,AT1G08780,4.08e-64,191,ABI3-INTERACTING PROTEIN 3; AIP3; PFD4; PREFOLDIN 4,ABI3-interacting protein 3;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G152300.1,AT3G04720,1.92e-69,209,ATPR4; HEL; HEVEIN-LIKE; PATHOGENESIS-RELATED 4; PR-4; PR4,Encodes a protein similar to the antifungal chitin-binding protein hevein from rubber tree latex. mRNA levels increase in response to ethylene and turnip crinkle virus infection. The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","",X,"",X,X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.09G152800.6,AT3G04740,0,2304,ARABIDOPSIS MEDIATOR COMPONENTS 14; ATMED14; MED14; MEDIATOR COMPONENTS 14; STRUWWELPETER; SWP,"encodes a protein with similarities to subunits of the Mediator complex, required for RNA polymerase II recruitment at target promoters in response to specific activators. Lines carrying loss of function mutations in the gene have reduced cell numbers in aerial organs. On the other hand, lines overexpressing the gene have increased number of small cells in clusters, suggesting cell division is more unsynchronized in the overexpressors.Required for expression of CBF-controlled cold-responsive genes. Required for recruitment of the Mediator complex and RNA polymerase II to CBF-controlled cold-responsive genes. Required for expression of some dark-upregulated genes.","","",X,"","","","","","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,X,X,"",X,X,"",""
Manes.09G153300.1,AT5G28770,1.13e-81,254,BZIP63ARABIDOPSIS THALIANA BASIC LEUCINE ZIPPER 63; ATBZIP63; BZIP63; BZO2H3BZIP63; BZO2H3,"BASIC LEUCINE ZIPPER protein which regulates the circadian oscillator gene PSEUDO RESPONSE REGULATOR7 (PRR7) to change the circadian phase in response to sugars. It upregulates PRR7 in response to low energy. bZIP63 and PRR7 are required for correct oscillator phase under light/dark cycles. bZIP protein BZO2H3 mRNA, partial cds","","",X,"","",X,"","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","","",X,X,X,X,X,X,"",X
Manes.09G155900.1,AT3G04880,3.14e-163,457,DNA-DAMAGE-REPAIR/TOLERATION 2; DRT102,encodes a novel protein involved in DNA repair from UV damage. Isolated by functional complementation of E. coli UV-sensitive mutants (UVR genes).,X,X,"","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G162700.1,AT2G48060,0,2770,PIEZO1; PZO1,Similar to mechanically sensitive ion channel identified in mouse. Mutants display root helical growth phenotype in agar media suggesting a role in mechanoperception at the root cap.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",""
Manes.09G162900.1,AT5G27380,0,772,ATGSH2; GLUTATHIONE SYNTHETASE 2; GSH2; GSHB,"Encodes a protein with similarity to glutathione synthetases, which catalyzes one of the early steps in glutathione biosynthesis. Two transcripts have been detected; the longer transcript is less abundant and the protein is localized to the chloroplast. The smaller transcript, in which the transit peptide is truncated, is localized to the cytosol. Increased glutathione accumulation in response to cesium stress.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G163300.2,AT3G05030,0,660,ATNHX2; NHX2; SODIUM HYDROGEN EXCHANGER 2,Encodes a vacuolar K+/H+ exchanger essential for active K+ uptake at the tonoplast and involved in regulating stomatal closure.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.09G164400.2,AT1G54820,1.17e-164,474,"",Protein kinase superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.09G167000.1,AT5G27550,0,936,"",P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11),"","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.09G168200.3,AT3G57710,6.56e-80,247,RESISTANCE RELATED KINASE 1; RKS1; ZRK1,Protein kinase superfamily protein;(source:Araport11),"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","",X,X,X,"","","","","","","",X,X,X,"",X,X,X,X,X,X,X,X,"",X,X,"",""
Manes.09G180400.4,AT1G09450,0,730,ATHASPIN; HASPIN; HASPIN-RELATED  GENE,Encodes a protein kinase that phosphorylates histone H3 at Thr3 and Thr11 and plays a role in mitotic cell division.,"","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.09G187402.1,AT5G13290,1.38e-137,397,CORYNE; CRN; SOL2; SUPPRESSOR OF LLP1 2,"Encodes a protein with predicted Ser/Thr kinase activity and membrane localization that is involved in the CLV3 signaling pathway that represses WUS expression in the meristem. Loss of function of CRN can suppress the phenotype caused by overexpression of CLV3. SOL2 isolated as a suppressor of root- specific overexpression of CLE19, a clavata3 like gene. sol2 partially suppresses the short root phenotype caused  by CLE19 overexpression. Mutant flowers have extra carpels.","","",X,X,X,X,"","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","",X,X,X,"",X,"",X,"","","",X,"","","","","",X,X,X,X,X,X,X,X,X,"",""
Manes.09G188600.1,AT5G13420,0,688,GLC-HYPERSENSITIVE MUTANT 2; GSM2; TRA2; TRANSALDOLASE 2,Transaldolase which contributes to reactive oxygen species homeostasis in response to Glc during early seedling growth.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.10G000357.1,AT1G63930,4.38e-94,285,FROM THE CZECH 'ROH' MEANING 'CORNER'; ROH1; ROH1A,EXO70 interactor and presumed negative secretion regulator.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G003400.2,AT5G05190,6.55e-29,122,EDR4; ENHANCED DISEASE RESISTANCE4,hypothetical protein (DUF3133);(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","",X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.10G003800.1,AT5G43360,0,661,ATPT4; PHOSPHATE TRANSPORTER 1;3; PHOSPHATE TRANSPORTER 3; PHT1;3; PHT3,"Encodes Pht1;3, a member of the Pht1 family of phosphate transporters which include: Pht1;1/At5g43350, Pht1;2/At5g43370, Pht1;3/At5g43360, Pht1;4/At2g38940, Pht1;5/At2g32830, Pht1;6/At5g43340, Pht1;7/At3g54700, Pht1;8/At1g20860, Pht1;9/At1g76430 (Plant Journal 2002, 31:341).","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.10G003900.1,AT5G58300,0,772,KINASE ON THE INSIDE; KOIN,Atypical LRR-receptor-kinase with polarized localization to lateral pericycle facing wall at the inner PM domain that functions in root cell proliferation.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.10G007000.1,AT2G40410,3.78e-177,493,ATCAN2; CA2+-DEPENDENT NUCLEASE; CALCIUM DEPENDENT NUCLEASE 2; CAN2,Encodes a Ca(2+)-dependent nuclease that can degrade both DNA and RNA.,"",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.10G007600.1,AT3G51740,0,997,IMK2; INFLORESCENCE MERISTEM RECEPTOR-LIKE KINASE 2,encodes a leucine-repeat receptor kinase expressed in inflorescence meristem. Locus association was made from performing sequence analysis with IMK3 (MRLK) whose locus association was provided by the authors. The mRNA is cell-to-cell mobile.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.10G010800.1,AT3G55990,2.41e-168,479,ESK1; ESKIMO 1; TBL29; TRICHOME BIREFRINGENCE-LIKE 29; XOAT1; XYLAN O-ACETYLTRANSFERASE 1,"Encodes ESK1 (Eskimo1).  A member of a large gene family of DUF231 domain proteins whose members encode a total of 45 proteins of unknown function.  ESK1 functions as a negative regulator of cold acclimation.  Mutations in the ESK1 gene provides strong freezing tolerance.  A member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication). The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G011100.2,AT3G55990,0,690,ESK1; ESKIMO 1; TBL29; TRICHOME BIREFRINGENCE-LIKE 29; XOAT1; XYLAN O-ACETYLTRANSFERASE 1,"Encodes ESK1 (Eskimo1).  A member of a large gene family of DUF231 domain proteins whose members encode a total of 45 proteins of unknown function.  ESK1 functions as a negative regulator of cold acclimation.  Mutations in the ESK1 gene provides strong freezing tolerance.  A member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication). The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G012200.1,AT5G05660,0,1172,ARABIDOPSIS NF-X LIKE 2; ATNFXL2; EARLY BIRD; EBI; NFX1-LIKE 2; NFXL2,Encodes a homolog of the mammalian zinc finger transcription factor NF-X1.,"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.10G012300.1,AT3G55950,1.71e-106,335,ATCRR3; CCR3; CRINKLY4 RELATED 3,CRINKLY4 related 3;(source:Araport11),"",X,"",X,X,"","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","",X,X,"","","","","","",X,"",""
Manes.10G013900.1,AT5G05700,0,669,ARGININE-TRNA PROTEIN TRANSFERASE 1; ATATE1; ATE1; DELAYED LEAF SENESCENCE 1; DLS1,"Encodes an arginyl-tRNA:protein transferase (ATE1), a component of the N-end rule pathway that targets protein degradation through the identity of the amino-terminal residue of specific protein substrates. Arabidopsis contains two ATE genes: At5g05700/ATE1, At3g11240/ATE2.  Another component of the N-end rule pathway is At5g02310/PROTEOLYSIS6 (PRT6).  PRT6 and ATE were shown to regulate seed after-ripening, seedling sugar sensitivity, seedling lipid breakdown, and abscisic acid (ABA) sensitivity of germination. Mutants of ATE1 also display delayed leaf senescence and altered responses to pathogens.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.10G014500.1,AT3G47570,0,820,"",Leucine-rich repeat protein kinase family protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"","",X,X,X,X,X,X,"",X,X,X,X,X,X,"","","",X,X,X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",X
Manes.10G015300.7,AT2G38120,0,822,ATAUX1; AUX1; AUXIN RESISTANT 1; MAP1; MODIFIER OF ARF7/NPH4 PHENOTYPES 1; PIR1; WAV5; WAVY ROOTS 5,Encodes an auxin influx transporter.  AUX1 resides at the apical plasma membrane of protophloem cells and at highly dynamic subpopulations of Golgi apparatus and endosomes in all cell types.  AUX1 action in the lateral root cap and/or epidermal cells influences lateral root initiation and positioning.  Shoot supplied ammonium targets AUX1 and inhibits lateral root emergence. The mRNA is cell-to-cell mobile.Encodes an auxin influx transporter.  AUX1 resides at the apical plasma membrane of protophloem cells and at highly dynamic subpopulations of Golgi apparatus and endosomes in all cell types.  AUX1 action in the lateral root cap and/or epidermal cells influences lateral root initiation and positioning.  Shoot supplied ammonium targets AUX1 and inhibits lateral root emergence.The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.10G016800.1,AT5G05780,0,565,RP NON-ATPASE SUBUNIT 8A; RPN8AAE3; ASYMMETRIC LEAVES ENHANCER 3; ATHMOV34; RP NON-ATPASE SUBUNIT 8A; RPN8A,Encodes a putative 26S proteasome subunit RPN8a.  The function of RPN8a and other 26S subunits may be required for specifying leaf adaxial identity. The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.10G022500.2,AT5G48620,5.71e-137,433,"",Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","",X,"","","",X,X,X,X,"",X,X,X,X,X,X,"",X
Manes.10G023300.1,AT1G50180,1.27e-158,487,CAR1; CEL-ACTIVATED RESISTANCE 1,Host immune receptor which recognizes the conserved effectors AvrE and HopAA1.,"","",X,"","",X,"","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","",X,"","","",X,X,X,X,"",X,X,X,X,X,X,"",X
Manes.10G031500.2,AT2G39550,2.66e-177,497,ATGGT-IB; GERANYLGERANYLTRANSFERASE-I BETA SUBUNIT; GGB; PGGT-I,"encodes the beta subunit of geranylgeranyl transferase (GGT-IB), involved in both ABA-mediated and auxin signaling pathways.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",X,"","",X,"",""
Manes.10G036300.1,AT2G39380,0,599,ATEXO70H2; EXO70H2; EXOCYST SUBUNIT EXO70 FAMILY PROTEIN H2,"A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.","","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,"",""
Manes.10G037800.7,AT3G55270,0,837,AOD13; ARABIDOPSIS MITOGEN-ACTIVATED PROTEIN KINASE PHOSPHATASE 1; ATMKP1; MITOGEN-ACTIVATED PROTEIN KINASE PHOSPHATASE 1; MKP1,"Encodes MAP kinase phosphatase 1 (MKP1).  Loss of MKP1 results in hypersensitivity to acute UV-B stress, but without impairing UV-B acclimation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G057700.1,AT5G22510,0,912,A/N-INVE; ALKALINE/NEUTRAL INVERTASE E; ARABIDOPSIS ALKALINE/NEUTRAL INVERTASE E; AT-A/N-INVE; INV-E,Encodes a chloroplast-targeted alkaline/neutral invertase that is implicated in the development of the photosynthetic apparatus and nitrogen assimilation in seedlings to control the sucrose to hexose ratio.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G058800.2,AT3G54250,0,665,ATMDD2; MDD2; MEVALONATE 5-DIPHOSPHATE DECARBOXYLASE 2,"Encodes mevalonate diphosphate decarboxylase, the enzyme that catalyzes the synthesis of isopentenyl diphosphate, used in sterol and isoprenoid biosynthesis.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.10G059950.1,AT1G80260,0,1047,EMB1427; EMBRYO DEFECTIVE 1427,Spc97 / Spc98 family of spindle pole body (SBP) component;(source:Araport11),"","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
